title,company,location,link
"Tech U Associate Solution Architect, Public Sector – 2020 Korea",Amazon Web Services Korea LLC,서울,https://kr.indeed.com/viewjob?jk=3c63bba3ee9b3090
사내 시스템 (O365) 구축/관리 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=b4bd6d5bad3b761c
Business Data Analyst,Soomgo,서울 강남구,https://kr.indeed.com/viewjob?jk=166aa0c72e94a266
Software Test Engineer for HANA Engine Intelligence Team,SAP,서울,https://kr.indeed.com/viewjob?jk=8aeedb3a2dba74b6
게임이상탐지팀 서비스 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=e787fde04b998e1a
MySQL 운영 및 개발 DBA (경력),네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=3be9c091be0a88a8
경력직 - [피파온라인4] 테크니컬 아티스트,Electronic Arts,서울,https://kr.indeed.com/viewjob?jk=0bce5c7e8c1e521d
Python 신입/경력 정규직,태그바이컴퍼니,서울 강남구,https://kr.indeed.com/viewjob?jk=e7b19736572ba66e
매칭팀 - 프로그래머,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=b83e48f219011128
데이터 플랫폼 개발,NHN PAYCO,성남 판교역,https://kr.indeed.com/viewjob?jk=a65baa1929f29393
"MVP 개발 엔지니어(서버, 웹프론트) (정규직, 계약직, 프리랜서)",더테스터,대전 중구,https://kr.indeed.com/viewjob?jk=1748baa27965fdbf
[대형보험사] 딥러닝 엔지니어 (대리~차장급),커리어라임즈,서울,https://kr.indeed.com/viewjob?jk=9625664d163fc237
GNI 소프트웨어 개발자,KAN,울산 북구,https://kr.indeed.com/viewjob?jk=b2ebc1da56d8b120
[삼성청년SW아카데미] 프로젝트 컨설턴트 (멀티캠퍼스),멀티캠퍼스,경상북도 구미,https://kr.indeed.com/viewjob?jk=1a642e02295c816d
"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,https://kr.indeed.com/viewjob?jk=649ccf047c868778
"글로벌 플랫폼 쉴드 개발(인증보안,이상결제,평판 등)",Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=07f425a9fb3ee67b
"유니챌 SW 개발자 (JavaScript, React Native, Python)",유니챌,서울 금천구,https://kr.indeed.com/viewjob?jk=96a87e4193c82cc1
빅데이터 플랫폼 운영 (HBase엔지니어),LINE Plus corporation,성남 서현역,https://kr.indeed.com/viewjob?jk=d67619b2f9558d16
웹 애플리케이션 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=c78a3c5d7bb7d883
Platform/BSP SW APPS Engineering - Engineer/Sr. Engineer,Qualcomm,서울,https://kr.indeed.com/viewjob?jk=db144509587439c1
(주)웨이브웨어 2020 년도 신입사원 (개발자),웨이브웨어,대전 유성구,https://kr.indeed.com/viewjob?jk=29fe737d11034db3
빅데이터 플랫폼 및 BI시스템 구축 그룹 IT계열사,그룹 IT계열사,서울특별시,https://kr.indeed.com/viewjob?jk=c1936b77c8be4bcf
Data Scientist,Soomgo,서울 강남구,https://kr.indeed.com/viewjob?jk=917cc06120add6e1
Support Engineer,Microsoft,서울,https://kr.indeed.com/viewjob?jk=0bbf23c0930be392
2020년 인공지능AI 교육콘텐츠지도사 양성과정 인원,한국여성과학기술인지원센터,서울 강남구,https://kr.indeed.com/viewjob?jk=b5476b58084376a4
Data Center Technician,Amzn Corporate Services Korea,서울,https://kr.indeed.com/viewjob?jk=1f542078927eb1e4
"서버응용(WAS) 개발 외 JSP, Java, JavaScript 신입/경력 정규직",베가웍스,세종특별자치시,https://kr.indeed.com/viewjob?jk=7ba299372085ae8b
"프로그래머 _딥러닝,텐서플로우,웹프로그램,응용프로그램",웹플래너,서울 용산구,https://kr.indeed.com/viewjob?jk=af83a22a7360762e
"[해외취업] 중국, RAKUTEN, Senior QA Engineer_Membership",英博管理咨询(大连)有限公司,대한민국,https://kr.indeed.com/viewjob?jk=2a022297d291f917
Data Analyst,하이퍼커넥트,서울,https://kr.indeed.com/viewjob?jk=2150a287fa8c4d51
"연구소 우수인재 (SW개발, HW개발, FW개발, 영상처리, AI, 기구설계, 영상개선개발)",제노레이,성남 중원구,https://kr.indeed.com/viewjob?jk=1ee2005a03291881
Software Developer - Front-End / Back-End,AITRICS,서울,https://kr.indeed.com/viewjob?jk=5123207a169f90eb
Web Developer,태그바이컴퍼니,서울 강남구,https://kr.indeed.com/viewjob?jk=8e97a01120a4b368
"Python, PHP 외 경력 정규직",드래곤에이치알,서울 강서구,https://kr.indeed.com/viewjob?jk=199189698f0d215c
"Java, Python 영상툴 개발자",에이아이메이커,서울 마곡동,https://kr.indeed.com/viewjob?jk=cae2de07045cfb2b
qe 소프트웨어 엔지니어,에이치알 코리아,대한민국,https://kr.indeed.com/viewjob?jk=85687b250386c4be
"Marketing Data Scientist, Google Professional Services",Google,서울,https://kr.indeed.com/viewjob?jk=424144a5501748e2
"R&D Engineer, Sr II",Synopsys,서울,https://kr.indeed.com/viewjob?jk=f8b4db31ab69ea32
[해외취업] 【AI・RPAエンジニア】経験半年の方も歓迎 10ヵ国の技術者が在籍,株式会社リープ,대한민국,https://kr.indeed.com/viewjob?jk=29e3b5646b869f60
웹 애플리케이션 개발자,Nexon,성남 분당구,https://kr.indeed.com/viewjob?jk=c78a3c5d7bb7d883
[Search] 쇼핑검색 AI 기술 개발 신입/경력사원,네이버,대한민국,https://kr.indeed.com/viewjob?jk=faf0422473d4188a
Data & AI Technical Specialist,IBM,서울,https://kr.indeed.com/viewjob?jk=9437c9fdc6462773
Product Manager(Product Intelligence),하이퍼커넥트,서울,https://kr.indeed.com/viewjob?jk=41cde1a35365547f
Senior Full-stack Developer,Asiance,서울,https://kr.indeed.com/viewjob?jk=978edf4ea4db4d6c
2020년 인공지능AI 교육콘텐츠지도사 양성과정 인원,한국여성과학기술인지원센터,서울 강남구,https://kr.indeed.com/viewjob?jk=b5476b58084376a4
Data Analyst,비바리퍼블리카,서울 강남구,https://kr.indeed.com/viewjob?jk=fcc59f7726fb0328
